Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU04781.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU04753.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU03953.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU04074.7	CT22.7_protein	0.38433852467434215	False	22.7	protein	Carbohydrates-Degradation
NCU04044.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU05299.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU05221.7	CT22.7_protein	0.021852399266194644	False	22.7	protein	Carbohydrates-Degradation
NCU01360.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU01467.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU08930.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU01169.7	CT22.7_protein	0.38433852467434215	False	22.7	protein	Carbohydrates-Degradation
NCU01142.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU06695.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU06741.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU05457.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU05689.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU05816.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NIL	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NIL	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NIL	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU07659.7	CT22.7_protein	0.38433852467434215	False	22.7	protein	Carbohydrates-Degradation
NCU02407.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU06482.7	CT22.7_protein	1.8480480961564252	False	22.7	protein	Carbohydrates-Degradation
NCU03004.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
NCU05454.7	CT22.7_protein	0.38433852467434215	False	22.7	protein	Carbohydrates-Degradation
NCU00742.7	CT22.7_protein		False	22.7	protein	Carbohydrates-Degradation
Average	CT22.7_protein	0.5816611093633746	True	22.7	protein	Carbohydrates-Degradation
NCU00642.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00985.7	CT0.8_RNA	2.0	False	0.8	RNA	Carbohydrates-Degradation
NCU00810.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU04623.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05956.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08114.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00801.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00130.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU10021.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05597.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU09287.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02188.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00821.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01633.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02550.7	CT0.8_RNA	1.438371146789077	False	0.8	RNA	Carbohydrates-Degradation
NCU04510.7	CT0.8_RNA	2.0	False	0.8	RNA	Carbohydrates-Degradation
NCU00643.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU09041.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU01813.7	CT0.8_RNA	0.06030737921409135	False	0.8	RNA	Carbohydrates-Degradation
NCU08152.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05627.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU06358.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04963.7	CT0.8_RNA	0.06030737921409191	False	0.8	RNA	Carbohydrates-Degradation
NCU08180.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07169.7	CT0.8_RNA	0.06030737921409191	False	0.8	RNA	Carbohydrates-Degradation
NCU02855.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08189.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07225.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04997.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05924.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07130.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01900.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU09652.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU06861.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00709.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01132.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00809.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05853.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08755.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04952.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03254.7	CT0.8_RNA	0.06030737921409135	False	0.8	RNA	Carbohydrates-Degradation
NCU00762.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08227.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07190.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01162.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03914.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05121.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02240.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05882.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU01050.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07898.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07974.7	CT0.8_RNA	0.06030737921409135	False	0.8	RNA	Carbohydrates-Degradation
NCU08760.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03328.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05404.7	CT0.8_RNA	0.06030737921409135	False	0.8	RNA	Carbohydrates-Degradation
NCU01867.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02916.7	CT0.8_RNA	2.0	False	0.8	RNA	Carbohydrates-Degradation
NCU00836.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02344.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04854.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05057.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07340.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07760.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU09680.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03996.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02583.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU00943.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04221.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08687.7	CT0.8_RNA	0.8954715367323467	False	0.8	RNA	Carbohydrates-Degradation
NCU04460.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU04442.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05133.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08549.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU02786.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08516.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08398.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU09705.7	CT0.8_RNA	1.4383711467890774	False	0.8	RNA	Carbohydrates-Degradation
NCU03098.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01517.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08746.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00743.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07027.7	CT0.8_RNA	2.0	False	0.8	RNA	Carbohydrates-Degradation
NCU07165.7	CT0.8_RNA	2.0	False	0.8	RNA	Carbohydrates-Degradation
NCU02322.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU04265.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00575.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU02542.7	CT0.8_RNA	0.06030737921409191	False	0.8	RNA	Carbohydrates-Degradation
NCU06996.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04728.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04339.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU10058.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU02702.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05626.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00891.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU11353.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08384.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02136.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU06142.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU01328.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00519.7	CT0.8_RNA	0.8954715367323467	False	0.8	RNA	Carbohydrates-Degradation
NCU07608.7	CT0.8_RNA	2.0	False	0.8	RNA	Carbohydrates-Degradation
NCU06075.7	CT0.8_RNA	0.06030737921409135	False	0.8	RNA	Carbohydrates-Degradation
NCU01870.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU10042.7	CT0.8_RNA	0.06030737921409191	False	0.8	RNA	Carbohydrates-Degradation
NCU02252.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU07914.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01528.7	CT0.8_RNA	0.021852399266194308	False	0.8	RNA	Carbohydrates-Degradation
NCU10106.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07550.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU07807.7	CT0.8_RNA	0.021852399266194308	False	0.8	RNA	Carbohydrates-Degradation
NCU00629.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07281.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU04797.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU02193.7	CT0.8_RNA	0.06030737921409191	False	0.8	RNA	Carbohydrates-Degradation
NCU02397.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU02476.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01754.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU06652.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU00087.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU07143.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NIL	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU09111.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU07483.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NIL	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00837.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03100.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU10008.7	CT0.8_RNA	0.8954715367323467	False	0.8	RNA	Carbohydrates-Degradation
NCU01227.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU08471.7	CT0.8_RNA	0.021852399266194308	False	0.8	RNA	Carbohydrates-Degradation
NCU09810.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU02438.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05425.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02482.7	CT0.8_RNA	0.8954715367323467	False	0.8	RNA	Carbohydrates-Degradation
NCU01692.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU02366.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00959.7	CT0.8_RNA	0.8954715367323459	False	0.8	RNA	Carbohydrates-Degradation
NCU08336.7	CT0.8_RNA	0.06030737921409135	False	0.8	RNA	Carbohydrates-Degradation
NCU07756.7	CT0.8_RNA	0.06030737921409135	False	0.8	RNA	Carbohydrates-Degradation
NCU03031.7	CT0.8_RNA	0.38433852467434215	False	0.8	RNA	Carbohydrates-Degradation
NCU00775.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU07697.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU06211.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04899.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03544.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07681.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03463.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU09747.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00667.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05118.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU08035.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU04387.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03395.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU09897.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU07446.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU02746.7	CT0.8_RNA	0.06030737921409191	False	0.8	RNA	Carbohydrates-Degradation
NCU01332.7	CT0.8_RNA	0.8954715367323467	False	0.8	RNA	Carbohydrates-Degradation
NCU08515.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01207.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU04008.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04481.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00502.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU09119.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00385.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01606.7	CT0.8_RNA	0.8954715367323467	False	0.8	RNA	Carbohydrates-Degradation
NCU02250.7	CT0.8_RNA	1.4383711467890774	False	0.8	RNA	Carbohydrates-Degradation
NCU05430.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02514.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00636.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU00644.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03199.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05220.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08947.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08940.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU06606.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03559.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NIL	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NIL	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NIL	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NIL	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NIL	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NIL	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU09477.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00484.7	CT0.8_RNA	0.8954715367323467	False	0.8	RNA	Carbohydrates-Degradation
NCU00418.7	CT0.8_RNA	0.8954715367323467	False	0.8	RNA	Carbohydrates-Degradation
NCU00160.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU09002.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03093.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU02534.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU00969.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02472.7	CT0.8_RNA	1.4383711467890774	False	0.8	RNA	Carbohydrates-Degradation
NCU00670.7	CT0.8_RNA	0.06030737921409191	False	0.8	RNA	Carbohydrates-Degradation
NCU01859.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU03156.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU09299.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU09460.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02280.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02373.7	CT0.8_RNA	0.8954715367323467	False	0.8	RNA	Carbohydrates-Degradation
NCU01765.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05009.7	CT0.8_RNA	0.38433852467434215	False	0.8	RNA	Carbohydrates-Degradation
NCU04781.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04753.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU03953.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04074.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU04044.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05299.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05221.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU01360.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01467.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU08930.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01169.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU01142.7	CT0.8_RNA	0.8954715367323467	False	0.8	RNA	Carbohydrates-Degradation
NCU06695.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU06741.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05457.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU05689.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU05816.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NIL	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NIL	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NIL	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU07659.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
NCU02407.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU06482.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU03004.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Carbohydrates-Degradation
NCU05454.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Carbohydrates-Degradation
NCU00742.7	CT0.8_RNA		False	0.8	RNA	Carbohydrates-Degradation
Average	CT0.8_RNA	1.090096438678243	True	0.8	RNA	Carbohydrates-Degradation
NCU00642.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU00985.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU00810.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU04623.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU05956.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU08114.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU00801.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU00130.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU10021.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU05597.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU09287.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU02188.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU00821.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU01633.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU02550.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU04510.7	CT0.8_protein	0.021852399266194308	False	0.8	protein	Carbohydrates-Degradation
NCU00643.7	CT0.8_protein	0.06030737921409135	False	0.8	protein	Carbohydrates-Degradation
NCU09041.7	CT0.8_protein	0.38433852467434215	False	0.8	protein	Carbohydrates-Degradation
NCU01813.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU08152.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU05627.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU06358.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU04963.7	CT0.8_protein	1.8480480961564256	False	0.8	protein	Carbohydrates-Degradation
NCU08180.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU07169.7	CT0.8_protein	0.8954715367323467	False	0.8	protein	Carbohydrates-Degradation
NCU02855.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU08189.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU07225.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU04997.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU05924.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU07130.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU01900.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU09652.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU06861.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU00709.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU01132.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU00809.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU05853.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU08755.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU04952.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU03254.7	CT0.8_protein	1.8480480961564256	False	0.8	protein	Carbohydrates-Degradation
NCU00762.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU08227.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU07190.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU01162.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
NCU03914.7	CT0.8_protein		False	0.8	protein	Carbohydrates-Degradation
